ALDER;CIVILSTAND;OMRÅDE;KØN;TID;INDHOLD
I alt;Fraskilt;Hele landet;I alt;2008K1;428864
I alt;Fraskilt;Hele landet;I alt;2020K4;552419
I alt;Ugift;Hele landet;I alt;2020K1;2844060
I alt;Ugift;Hele landet;I alt;2020K2;2851131
I alt;Ugift;Hele landet;I alt;2020K3;2854659
I alt;Ugift;Hele landet;I alt;2020K4;2859116
I alt;Ugift;Region Hovedstaden;I alt;2020K1;973802
I alt;Ugift;Region Hovedstaden;I alt;2020K2;976457
I alt;Ugift;Region Hovedstaden;I alt;2020K3;977487
I alt;Ugift;Region Hovedstaden;I alt;2020K4;981652
I alt;Ugift;København;I alt;2020K1;412512
I alt;Ugift;København;I alt;2020K2;414072
I alt;Ugift;København;I alt;2020K3;414218
I alt;Ugift;København;I alt;2020K4;417782
I alt;Ugift;Frederiksberg;I alt;2020K1;60781
I alt;Ugift;Frederiksberg;I alt;2020K2;60894
I alt;Ugift;Frederiksberg;I alt;2020K3;60802
I alt;Ugift;Frederiksberg;I alt;2020K4;61020
I alt;Ugift;Dragør;I alt;2020K1;5844
I alt;Ugift;Dragør;I alt;2020K2;5856
I alt;Ugift;Dragør;I alt;2020K3;5866
I alt;Ugift;Dragør;I alt;2020K4;5856
I alt;Ugift;Tårnby;I alt;2020K1;19947
I alt;Ugift;Tårnby;I alt;2020K2;19913
I alt;Ugift;Tårnby;I alt;2020K3;19945
I alt;Ugift;Tårnby;I alt;2020K4;19946
I alt;Ugift;Albertslund;I alt;2020K1;13795
I alt;Ugift;Albertslund;I alt;2020K2;13761
I alt;Ugift;Albertslund;I alt;2020K3;13726
I alt;Ugift;Albertslund;I alt;2020K4;13701
I alt;Ugift;Ballerup;I alt;2020K1;22371
I alt;Ugift;Ballerup;I alt;2020K2;22561
I alt;Ugift;Ballerup;I alt;2020K3;22667
I alt;Ugift;Ballerup;I alt;2020K4;22707
I alt;Ugift;Brøndby;I alt;2020K1;16245
I alt;Ugift;Brøndby;I alt;2020K2;16277
I alt;Ugift;Brøndby;I alt;2020K3;16299
I alt;Ugift;Brøndby;I alt;2020K4;16317
I alt;Ugift;Gentofte;I alt;2020K1;35130
I alt;Ugift;Gentofte;I alt;2020K2;35183
I alt;Ugift;Gentofte;I alt;2020K3;35169
I alt;Ugift;Gentofte;I alt;2020K4;35017
I alt;Ugift;Gladsaxe;I alt;2020K1;34731
I alt;Ugift;Gladsaxe;I alt;2020K2;34697
I alt;Ugift;Gladsaxe;I alt;2020K3;34752
I alt;Ugift;Gladsaxe;I alt;2020K4;34749
I alt;Ugift;Glostrup;I alt;2020K1;11193
I alt;Ugift;Glostrup;I alt;2020K2;11365
I alt;Ugift;Glostrup;I alt;2020K3;11386
I alt;Ugift;Glostrup;I alt;2020K4;11397
I alt;Ugift;Herlev;I alt;2020K1;13767
I alt;Ugift;Herlev;I alt;2020K2;13786
I alt;Ugift;Herlev;I alt;2020K3;13810
I alt;Ugift;Herlev;I alt;2020K4;13798
I alt;Ugift;Hvidovre;I alt;2020K1;26533
I alt;Ugift;Hvidovre;I alt;2020K2;26537
I alt;Ugift;Hvidovre;I alt;2020K3;26581
I alt;Ugift;Hvidovre;I alt;2020K4;26566
I alt;Ugift;Høje-Taastrup;I alt;2020K1;23532
I alt;Ugift;Høje-Taastrup;I alt;2020K2;23641
I alt;Ugift;Høje-Taastrup;I alt;2020K3;23728
I alt;Ugift;Høje-Taastrup;I alt;2020K4;23898
I alt;Ugift;Ishøj;I alt;2020K1;10808
I alt;Ugift;Ishøj;I alt;2020K2;10785
I alt;Ugift;Ishøj;I alt;2020K3;10873
I alt;Ugift;Ishøj;I alt;2020K4;10906
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K1;27810
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K2;27922
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K3;27764
I alt;Ugift;Lyngby-Taarbæk;I alt;2020K4;28229
I alt;Ugift;Rødovre;I alt;2020K1;20055
I alt;Ugift;Rødovre;I alt;2020K2;20083
I alt;Ugift;Rødovre;I alt;2020K3;20198
I alt;Ugift;Rødovre;I alt;2020K4;20234
I alt;Ugift;Vallensbæk;I alt;2020K1;7354
I alt;Ugift;Vallensbæk;I alt;2020K2;7331
I alt;Ugift;Vallensbæk;I alt;2020K3;7318
I alt;Ugift;Vallensbæk;I alt;2020K4;7276
I alt;Ugift;Allerød;I alt;2020K1;10586
I alt;Ugift;Allerød;I alt;2020K2;10615
I alt;Ugift;Allerød;I alt;2020K3;10605
I alt;Ugift;Allerød;I alt;2020K4;10725
I alt;Ugift;Egedal;I alt;2020K1;18274
I alt;Ugift;Egedal;I alt;2020K2;18342
I alt;Ugift;Egedal;I alt;2020K3;18396
I alt;Ugift;Egedal;I alt;2020K4;18371
I alt;Ugift;Fredensborg;I alt;2020K1;17135
I alt;Ugift;Fredensborg;I alt;2020K2;17161
I alt;Ugift;Fredensborg;I alt;2020K3;17247
I alt;Ugift;Fredensborg;I alt;2020K4;17211
I alt;Ugift;Frederikssund;I alt;2020K1;18530
I alt;Ugift;Frederikssund;I alt;2020K2;18589
I alt;Ugift;Frederikssund;I alt;2020K3;18645
I alt;Ugift;Frederikssund;I alt;2020K4;18591
I alt;Ugift;Furesø;I alt;2020K1;17443
I alt;Ugift;Furesø;I alt;2020K2;17448
I alt;Ugift;Furesø;I alt;2020K3;17505
I alt;Ugift;Furesø;I alt;2020K4;17449
I alt;Ugift;Gribskov;I alt;2020K1;15993
I alt;Ugift;Gribskov;I alt;2020K2;15998
I alt;Ugift;Gribskov;I alt;2020K3;16036
I alt;Ugift;Gribskov;I alt;2020K4;15964
I alt;Ugift;Halsnæs;I alt;2020K1;12656
I alt;Ugift;Halsnæs;I alt;2020K2;12747
I alt;Ugift;Halsnæs;I alt;2020K3;12777
I alt;Ugift;Halsnæs;I alt;2020K4;12741
I alt;Ugift;Helsingør;I alt;2020K1;27077
I alt;Ugift;Helsingør;I alt;2020K2;27202
I alt;Ugift;Helsingør;I alt;2020K3;27327
I alt;Ugift;Helsingør;I alt;2020K4;27234
I alt;Ugift;Hillerød;I alt;2020K1;23306
I alt;Ugift;Hillerød;I alt;2020K2;23323
I alt;Ugift;Hillerød;I alt;2020K3;23416
I alt;Ugift;Hillerød;I alt;2020K4;23405
I alt;Ugift;Hørsholm;I alt;2020K1;9677
I alt;Ugift;Hørsholm;I alt;2020K2;9675
I alt;Ugift;Hørsholm;I alt;2020K3;9648
I alt;Ugift;Hørsholm;I alt;2020K4;9669
I alt;Ugift;Rudersdal;I alt;2020K1;24690
I alt;Ugift;Rudersdal;I alt;2020K2;24669
I alt;Ugift;Rudersdal;I alt;2020K3;24684
I alt;Ugift;Rudersdal;I alt;2020K4;24844
I alt;Ugift;Bornholm;I alt;2020K1;15996
I alt;Ugift;Bornholm;I alt;2020K2;15992
I alt;Ugift;Bornholm;I alt;2020K3;16066
I alt;Ugift;Bornholm;I alt;2020K4;16014
I alt;Ugift;Christiansø;I alt;2020K1;31
I alt;Ugift;Christiansø;I alt;2020K2;32
I alt;Ugift;Christiansø;I alt;2020K3;33
I alt;Ugift;Christiansø;I alt;2020K4;35
I alt;Ugift;Region Sjælland;I alt;2020K1;368715
I alt;Ugift;Region Sjælland;I alt;2020K2;369343
I alt;Ugift;Region Sjælland;I alt;2020K3;370346
I alt;Ugift;Region Sjælland;I alt;2020K4;369548
I alt;Ugift;Greve;I alt;2020K1;21016
I alt;Ugift;Greve;I alt;2020K2;20998
I alt;Ugift;Greve;I alt;2020K3;21065
I alt;Ugift;Greve;I alt;2020K4;21049
I alt;Ugift;Køge;I alt;2020K1;27189
I alt;Ugift;Køge;I alt;2020K2;27375
I alt;Ugift;Køge;I alt;2020K3;27447
I alt;Ugift;Køge;I alt;2020K4;27484
I alt;Ugift;Lejre;I alt;2020K1;11553
I alt;Ugift;Lejre;I alt;2020K2;11549
I alt;Ugift;Lejre;I alt;2020K3;11637
I alt;Ugift;Lejre;I alt;2020K4;11615
I alt;Ugift;Roskilde;I alt;2020K1;41111
I alt;Ugift;Roskilde;I alt;2020K2;41460
I alt;Ugift;Roskilde;I alt;2020K3;41580
I alt;Ugift;Roskilde;I alt;2020K4;41680
I alt;Ugift;Solrød;I alt;2020K1;9955
I alt;Ugift;Solrød;I alt;2020K2;9974
I alt;Ugift;Solrød;I alt;2020K3;10065
I alt;Ugift;Solrød;I alt;2020K4;10042
I alt;Ugift;Faxe;I alt;2020K1;15575
I alt;Ugift;Faxe;I alt;2020K2;15574
I alt;Ugift;Faxe;I alt;2020K3;15681
I alt;Ugift;Faxe;I alt;2020K4;15597
I alt;Ugift;Guldborgsund;I alt;2020K1;25908
I alt;Ugift;Guldborgsund;I alt;2020K2;25856
I alt;Ugift;Guldborgsund;I alt;2020K3;25813
I alt;Ugift;Guldborgsund;I alt;2020K4;25683
I alt;Ugift;Holbæk;I alt;2020K1;32235
I alt;Ugift;Holbæk;I alt;2020K2;32268
I alt;Ugift;Holbæk;I alt;2020K3;32366
I alt;Ugift;Holbæk;I alt;2020K4;32373
I alt;Ugift;Kalundborg;I alt;2020K1;21163
I alt;Ugift;Kalundborg;I alt;2020K2;21159
I alt;Ugift;Kalundborg;I alt;2020K3;21195
I alt;Ugift;Kalundborg;I alt;2020K4;21198
I alt;Ugift;Lolland;I alt;2020K1;17132
I alt;Ugift;Lolland;I alt;2020K2;17081
I alt;Ugift;Lolland;I alt;2020K3;17056
I alt;Ugift;Lolland;I alt;2020K4;16916
I alt;Ugift;Næstved;I alt;2020K1;38119
I alt;Ugift;Næstved;I alt;2020K2;38148
I alt;Ugift;Næstved;I alt;2020K3;38262
I alt;Ugift;Næstved;I alt;2020K4;38021
I alt;Ugift;Odsherred;I alt;2020K1;13011
I alt;Ugift;Odsherred;I alt;2020K2;12999
I alt;Ugift;Odsherred;I alt;2020K3;13051
I alt;Ugift;Odsherred;I alt;2020K4;12941
I alt;Ugift;Ringsted;I alt;2020K1;16052
I alt;Ugift;Ringsted;I alt;2020K2;16010
I alt;Ugift;Ringsted;I alt;2020K3;16089
I alt;Ugift;Ringsted;I alt;2020K4;16073
I alt;Ugift;Slagelse;I alt;2020K1;37269
I alt;Ugift;Slagelse;I alt;2020K2;37433
I alt;Ugift;Slagelse;I alt;2020K3;37477
I alt;Ugift;Slagelse;I alt;2020K4;37371
I alt;Ugift;Sorø;I alt;2020K1;13232
I alt;Ugift;Sorø;I alt;2020K2;13262
I alt;Ugift;Sorø;I alt;2020K3;13306
I alt;Ugift;Sorø;I alt;2020K4;13338
I alt;Ugift;Stevns;I alt;2020K1;9085
I alt;Ugift;Stevns;I alt;2020K2;9099
I alt;Ugift;Stevns;I alt;2020K3;9138
I alt;Ugift;Stevns;I alt;2020K4;9167
I alt;Ugift;Vordingborg;I alt;2020K1;19110
I alt;Ugift;Vordingborg;I alt;2020K2;19098
I alt;Ugift;Vordingborg;I alt;2020K3;19118
I alt;Ugift;Vordingborg;I alt;2020K4;19000
I alt;Ugift;Region Syddanmark;I alt;2020K1;568126
I alt;Ugift;Region Syddanmark;I alt;2020K2;569654
I alt;Ugift;Region Syddanmark;I alt;2020K3;569849
I alt;Ugift;Region Syddanmark;I alt;2020K4;568943
I alt;Ugift;Assens;I alt;2020K1;17711
I alt;Ugift;Assens;I alt;2020K2;17702
I alt;Ugift;Assens;I alt;2020K3;17664
I alt;Ugift;Assens;I alt;2020K4;17526
I alt;Ugift;Faaborg-Midtfyn;I alt;2020K1;22004
I alt;Ugift;Faaborg-Midtfyn;I alt;2020K2;22026
I alt;Ugift;Faaborg-Midtfyn;I alt;2020K3;22137
I alt;Ugift;Faaborg-Midtfyn;I alt;2020K4;22113
I alt;Ugift;Kerteminde;I alt;2020K1;9789
I alt;Ugift;Kerteminde;I alt;2020K2;9831
I alt;Ugift;Kerteminde;I alt;2020K3;9831
I alt;Ugift;Kerteminde;I alt;2020K4;9807
I alt;Ugift;Langeland;I alt;2020K1;4583
I alt;Ugift;Langeland;I alt;2020K2;4549
I alt;Ugift;Langeland;I alt;2020K3;4544
I alt;Ugift;Langeland;I alt;2020K4;4500
I alt;Ugift;Middelfart;I alt;2020K1;16533
I alt;Ugift;Middelfart;I alt;2020K2;16597
I alt;Ugift;Middelfart;I alt;2020K3;16596
I alt;Ugift;Middelfart;I alt;2020K4;16533
I alt;Ugift;Nordfyns;I alt;2020K1;12701
I alt;Ugift;Nordfyns;I alt;2020K2;12698
I alt;Ugift;Nordfyns;I alt;2020K3;12670
I alt;Ugift;Nordfyns;I alt;2020K4;12586
I alt;Ugift;Nyborg;I alt;2020K1;13803
I alt;Ugift;Nyborg;I alt;2020K2;13805
I alt;Ugift;Nyborg;I alt;2020K3;13827
I alt;Ugift;Nyborg;I alt;2020K4;13764
I alt;Ugift;Odense;I alt;2020K1;112490
I alt;Ugift;Odense;I alt;2020K2;112889
I alt;Ugift;Odense;I alt;2020K3;112672
I alt;Ugift;Odense;I alt;2020K4;113639
I alt;Ugift;Svendborg;I alt;2020K1;26178
I alt;Ugift;Svendborg;I alt;2020K2;26305
I alt;Ugift;Svendborg;I alt;2020K3;26281
I alt;Ugift;Svendborg;I alt;2020K4;26251
I alt;Ugift;Ærø;I alt;2020K1;2174
I alt;Ugift;Ærø;I alt;2020K2;2186
I alt;Ugift;Ærø;I alt;2020K3;2203
I alt;Ugift;Ærø;I alt;2020K4;2179
I alt;Ugift;Billund;I alt;2020K1;11719
I alt;Ugift;Billund;I alt;2020K2;11761
I alt;Ugift;Billund;I alt;2020K3;11755
I alt;Ugift;Billund;I alt;2020K4;11695
I alt;Ugift;Esbjerg;I alt;2020K1;55014
I alt;Ugift;Esbjerg;I alt;2020K2;55260
I alt;Ugift;Esbjerg;I alt;2020K3;55330
I alt;Ugift;Esbjerg;I alt;2020K4;55161
I alt;Ugift;Fanø;I alt;2020K1;1258
I alt;Ugift;Fanø;I alt;2020K2;1260
I alt;Ugift;Fanø;I alt;2020K3;1267
I alt;Ugift;Fanø;I alt;2020K4;1229
I alt;Ugift;Fredericia;I alt;2020K1;23719
I alt;Ugift;Fredericia;I alt;2020K2;23782
I alt;Ugift;Fredericia;I alt;2020K3;23752
I alt;Ugift;Fredericia;I alt;2020K4;23602
I alt;Ugift;Haderslev;I alt;2020K1;24806
I alt;Ugift;Haderslev;I alt;2020K2;24875
I alt;Ugift;Haderslev;I alt;2020K3;24823
I alt;Ugift;Haderslev;I alt;2020K4;24725
I alt;Ugift;Kolding;I alt;2020K1;44898
I alt;Ugift;Kolding;I alt;2020K2;45042
I alt;Ugift;Kolding;I alt;2020K3;44969
I alt;Ugift;Kolding;I alt;2020K4;44962
I alt;Ugift;Sønderborg;I alt;2020K1;32107
I alt;Ugift;Sønderborg;I alt;2020K2;32126
I alt;Ugift;Sønderborg;I alt;2020K3;32180
I alt;Ugift;Sønderborg;I alt;2020K4;31983
I alt;Ugift;Tønder;I alt;2020K1;15874
I alt;Ugift;Tønder;I alt;2020K2;15832
I alt;Ugift;Tønder;I alt;2020K3;15764
I alt;Ugift;Tønder;I alt;2020K4;15722
I alt;Ugift;Varde;I alt;2020K1;21766
I alt;Ugift;Varde;I alt;2020K2;21756
I alt;Ugift;Varde;I alt;2020K3;21706
I alt;Ugift;Varde;I alt;2020K4;21428
I alt;Ugift;Vejen;I alt;2020K1;19285
I alt;Ugift;Vejen;I alt;2020K2;19270
I alt;Ugift;Vejen;I alt;2020K3;19353
I alt;Ugift;Vejen;I alt;2020K4;19277
I alt;Ugift;Vejle;I alt;2020K1;54448
I alt;Ugift;Vejle;I alt;2020K2;54816
I alt;Ugift;Vejle;I alt;2020K3;55161
I alt;Ugift;Vejle;I alt;2020K4;55116
I alt;Ugift;Aabenraa;I alt;2020K1;25266
I alt;Ugift;Aabenraa;I alt;2020K2;25286
I alt;Ugift;Aabenraa;I alt;2020K3;25364
I alt;Ugift;Aabenraa;I alt;2020K4;25145
I alt;Ugift;Region Midtjylland;I alt;2020K1;653428
I alt;Ugift;Region Midtjylland;I alt;2020K2;655252
I alt;Ugift;Region Midtjylland;I alt;2020K3;655924
I alt;Ugift;Region Midtjylland;I alt;2020K4;657563
I alt;Ugift;Favrskov;I alt;2020K1;21794
I alt;Ugift;Favrskov;I alt;2020K2;21808
I alt;Ugift;Favrskov;I alt;2020K3;21843
I alt;Ugift;Favrskov;I alt;2020K4;21719
I alt;Ugift;Hedensted;I alt;2020K1;20301
I alt;Ugift;Hedensted;I alt;2020K2;20343
I alt;Ugift;Hedensted;I alt;2020K3;20335
I alt;Ugift;Hedensted;I alt;2020K4;20252
I alt;Ugift;Horsens;I alt;2020K1;44353
I alt;Ugift;Horsens;I alt;2020K2;44498
I alt;Ugift;Horsens;I alt;2020K3;44741
I alt;Ugift;Horsens;I alt;2020K4;44832
I alt;Ugift;Norddjurs;I alt;2020K1;16360
I alt;Ugift;Norddjurs;I alt;2020K2;16349
I alt;Ugift;Norddjurs;I alt;2020K3;16375
I alt;Ugift;Norddjurs;I alt;2020K4;16329
I alt;Ugift;Odder;I alt;2020K1;9599
I alt;Ugift;Odder;I alt;2020K2;9640
I alt;Ugift;Odder;I alt;2020K3;9603
I alt;Ugift;Odder;I alt;2020K4;9561
I alt;Ugift;Randers;I alt;2020K1;46936
I alt;Ugift;Randers;I alt;2020K2;47137
I alt;Ugift;Randers;I alt;2020K3;47342
I alt;Ugift;Randers;I alt;2020K4;47184
I alt;Ugift;Samsø;I alt;2020K1;1281
I alt;Ugift;Samsø;I alt;2020K2;1270
I alt;Ugift;Samsø;I alt;2020K3;1291
I alt;Ugift;Samsø;I alt;2020K4;1299
I alt;Ugift;Silkeborg;I alt;2020K1;43672
I alt;Ugift;Silkeborg;I alt;2020K2;43961
I alt;Ugift;Silkeborg;I alt;2020K3;44180
I alt;Ugift;Silkeborg;I alt;2020K4;44102
I alt;Ugift;Skanderborg;I alt;2020K1;28692
I alt;Ugift;Skanderborg;I alt;2020K2;28934
I alt;Ugift;Skanderborg;I alt;2020K3;29040
I alt;Ugift;Skanderborg;I alt;2020K4;28963
I alt;Ugift;Syddjurs;I alt;2020K1;17996
I alt;Ugift;Syddjurs;I alt;2020K2;18097
I alt;Ugift;Syddjurs;I alt;2020K3;18125
I alt;Ugift;Syddjurs;I alt;2020K4;18139
I alt;Ugift;Aarhus;I alt;2020K1;208509
I alt;Ugift;Aarhus;I alt;2020K2;208755
I alt;Ugift;Aarhus;I alt;2020K3;208470
I alt;Ugift;Aarhus;I alt;2020K4;211863
I alt;Ugift;Herning;I alt;2020K1;41719
I alt;Ugift;Herning;I alt;2020K2;41911
I alt;Ugift;Herning;I alt;2020K3;42075
I alt;Ugift;Herning;I alt;2020K4;41832
I alt;Ugift;Holstebro;I alt;2020K1;27357
I alt;Ugift;Holstebro;I alt;2020K2;27479
I alt;Ugift;Holstebro;I alt;2020K3;27545
I alt;Ugift;Holstebro;I alt;2020K4;27431
I alt;Ugift;Ikast-Brande;I alt;2020K1;18551
I alt;Ugift;Ikast-Brande;I alt;2020K2;18627
I alt;Ugift;Ikast-Brande;I alt;2020K3;18658
I alt;Ugift;Ikast-Brande;I alt;2020K4;18585
I alt;Ugift;Lemvig;I alt;2020K1;7900
I alt;Ugift;Lemvig;I alt;2020K2;7922
I alt;Ugift;Lemvig;I alt;2020K3;7932
I alt;Ugift;Lemvig;I alt;2020K4;7852
I alt;Ugift;Ringkøbing-Skjern;I alt;2020K1;24254
I alt;Ugift;Ringkøbing-Skjern;I alt;2020K2;24236
I alt;Ugift;Ringkøbing-Skjern;I alt;2020K3;24244
I alt;Ugift;Ringkøbing-Skjern;I alt;2020K4;24001
I alt;Ugift;Skive;I alt;2020K1;20222
I alt;Ugift;Skive;I alt;2020K2;20291
I alt;Ugift;Skive;I alt;2020K3;20206
I alt;Ugift;Skive;I alt;2020K4;19993
I alt;Ugift;Struer;I alt;2020K1;8562
I alt;Ugift;Struer;I alt;2020K2;8539
I alt;Ugift;Struer;I alt;2020K3;8496
I alt;Ugift;Struer;I alt;2020K4;8446
I alt;Ugift;Viborg;I alt;2020K1;45370
I alt;Ugift;Viborg;I alt;2020K2;45455
I alt;Ugift;Viborg;I alt;2020K3;45423
I alt;Ugift;Viborg;I alt;2020K4;45180
I alt;Ugift;Region Nordjylland;I alt;2020K1;279989
I alt;Ugift;Region Nordjylland;I alt;2020K2;280425
I alt;Ugift;Region Nordjylland;I alt;2020K3;281053
I alt;Ugift;Region Nordjylland;I alt;2020K4;281410
I alt;Ugift;Brønderslev;I alt;2020K1;16246
I alt;Ugift;Brønderslev;I alt;2020K2;16310
I alt;Ugift;Brønderslev;I alt;2020K3;16301
I alt;Ugift;Brønderslev;I alt;2020K4;16204
I alt;Ugift;Frederikshavn;I alt;2020K1;24767
I alt;Ugift;Frederikshavn;I alt;2020K2;24778
I alt;Ugift;Frederikshavn;I alt;2020K3;24745
I alt;Ugift;Frederikshavn;I alt;2020K4;24560
I alt;Ugift;Hjørring;I alt;2020K1;28574
I alt;Ugift;Hjørring;I alt;2020K2;28589
I alt;Ugift;Hjørring;I alt;2020K3;28682
I alt;Ugift;Hjørring;I alt;2020K4;28482
I alt;Ugift;Jammerbugt;I alt;2020K1;16286
I alt;Ugift;Jammerbugt;I alt;2020K2;16405
I alt;Ugift;Jammerbugt;I alt;2020K3;16404
I alt;Ugift;Jammerbugt;I alt;2020K4;16352
I alt;Ugift;Læsø;I alt;2020K1;593
I alt;Ugift;Læsø;I alt;2020K2;605
I alt;Ugift;Læsø;I alt;2020K3;607
I alt;Ugift;Læsø;I alt;2020K4;589
I alt;Ugift;Mariagerfjord;I alt;2020K1;18168
I alt;Ugift;Mariagerfjord;I alt;2020K2;18163
I alt;Ugift;Mariagerfjord;I alt;2020K3;18150
I alt;Ugift;Mariagerfjord;I alt;2020K4;17978
I alt;Ugift;Morsø;I alt;2020K1;8740
I alt;Ugift;Morsø;I alt;2020K2;8742
I alt;Ugift;Morsø;I alt;2020K3;8804
I alt;Ugift;Morsø;I alt;2020K4;8721
I alt;Ugift;Rebild;I alt;2020K1;13553
I alt;Ugift;Rebild;I alt;2020K2;13617
I alt;Ugift;Rebild;I alt;2020K3;13751
I alt;Ugift;Rebild;I alt;2020K4;13736
I alt;Ugift;Thisted;I alt;2020K1;18696
I alt;Ugift;Thisted;I alt;2020K2;18710
I alt;Ugift;Thisted;I alt;2020K3;18757
I alt;Ugift;Thisted;I alt;2020K4;18597
I alt;Ugift;Vesthimmerlands;I alt;2020K1;16172
I alt;Ugift;Vesthimmerlands;I alt;2020K2;16151
I alt;Ugift;Vesthimmerlands;I alt;2020K3;16158
I alt;Ugift;Vesthimmerlands;I alt;2020K4;15965
I alt;Ugift;Aalborg;I alt;2020K1;118194
I alt;Ugift;Aalborg;I alt;2020K2;118355
I alt;Ugift;Aalborg;I alt;2020K3;118694
I alt;Ugift;Aalborg;I alt;2020K4;120226